"VOLUME_REG","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
"Eastern MT","WMERBCH",1,9315916398.76202,23923866537.3384,14607950138.5763,156.806367868625,"Top and limb weight"
"Eastern MT","WMEROB",1,50875990256.9872,52490110514.948,1614120257.96075,3.17265619756476,"Merch bole wood and bark weight"
"Eastern MT","WSTPOB",1,2536369858.60431,3410820782.82929,874450924.224977,34.4764751583257,"Stump wood and bark weight"
"Eastern MT","BIOMASS",2,7491747562.92092,11380108383.4865,3888360820.56553,51.9019199179946,"Total aboveground biomass"
"Eastern MT","CARBON",2,3745873791.03986,5793507070.21395,2047633279.17409,54.6637018062924,"Total aboveground carbon"
"Eastern MT","VMERIB",2,231769903.912813,276159052.416762,44389148.5039485,19.1522487409093,"Merchantable wood volume"
"Eastern MT","WMERBCH",2,834774194.395505,2694954914.4391,1860180720.0436,222.836394863719,"Top and limb weight"
"Eastern MT","WMEROB",2,6237141422.80722,8018916470.80844,1781775048.00121,28.5671740821177,"Merch bole wood and bark weight"
"Eastern MT","WSTPOB",2,355672558.943229,557725886.305475,202053327.362246,56.8088041322574,"Stump wood and bark weight"
"Eastern OR","BIOMASS",1,978295398890.591,1151189911018.98,172894512128.39,17.673037440885,"Total aboveground biomass"
"Eastern OR","CARBON",1,489147700721.882,577106113916.957,87958413195.0745,17.981974169615,"Total aboveground carbon"
"Eastern OR","VMERIB",1,26774839250.1549,27187612019.3299,412772769.175003,1.54164424786459,"Merchantable wood volume"
"Eastern OR","WMERBCH",1,128690880108.302,256958433562.555,128267553454.253,99.6710515510564,"Top and limb weight"
"Eastern OR","WMEROB",1,774381395630.913,811887044314.182,37505648683.2698,4.84330446145504,"Merch bole wood and bark weight"
"Eastern OR","WSTPOB",1,36147332604.7336,35285343895.307,-861988709.426598,-2.38465371387796,"Stump wood and bark weight"
"Eastern OR","VSAWIB",1,23815528933.9714,23147831482.0967,-667697451.874748,-2.80362218166953,"Sawlog wood volume"
"Eastern OR","BIOMASS",2,104956740555.591,144205963621.984,39249223066.3931,37.3956192414383,"Total aboveground biomass"
"Eastern OR","CARBON",2,52478370355.0623,71797275555.9906,19318905200.9282,36.813081409005,"Total aboveground carbon"
"Eastern OR","VMERIB",2,3739952345.0685,3692953250.39163,-46999094.676867,-1.25667629799722,"Merchantable wood volume"
"Eastern OR","WMERBCH",2,8076436872.39075,22379688803.8725,14303251931.4817,177.098541813374,"Top and limb weight"
"Eastern OR","WMEROB",2,90905055189.1815,114733398452.535,23828343263.3532,26.2123412320298,"Merch bole wood and bark weight"
"Eastern OR","WSTPOB",2,5083201003.28843,6030493701.48693,947292698.198507,18.6357513225561,"Stump wood and bark weight"
"Eastern WA","BIOMASS",1,929389390488.439,1001845534942.8,72456144454.3577,7.7961019563908,"Total aboveground biomass"
"Eastern WA","CARBON",1,464694696183.534,502045425004.183,37350728820.6488,8.03769208631055,"Total aboveground carbon"
"Eastern WA","VMERIB",1,25111677705.5419,25065470265.1197,-46207440.4221992,-0.184007779026257,"Merchantable wood volume"
"Eastern WA","WMERBCH",1,123437601122.77,187064001844.377,63626400721.6067,51.5453963321308,"Top and limb weight"
"Eastern WA","WMEROB",1,739688547230.826,746337111854.816,6648564623.99048,0.898832981648929,"Merch bole wood and bark weight"
"Eastern WA","WSTPOB",1,35835848761.4367,30410798927.8576,-5425049833.57908,-15.1386112540385,"Stump wood and bark weight"
"Eastern WA","VSAWIB",1,21999895492.6604,21018910906.2263,-980984586.434166,-4.45904202936527,"Sawlog wood volume"
"Eastern WA","BIOMASS",2,162635887232.855,206427963204.247,43792075971.3921,26.9264531441898,"Total aboveground biomass"
"Eastern WA","CARBON",2,81317943729.6966,102526135843.257,21208192113.5607,26.0805809158891,"Total aboveground carbon"
"Eastern WA","VMERIB",2,5702687820.14644,5606404378.47227,-96283441.6741648,-1.6883870327605,"Merchantable wood volume"
"Eastern WA","WMERBCH",2,13696782403.7668,33008592222.4825,19311809818.7157,140.99522975122,"Top and limb weight"
"Eastern WA","WMEROB",2,139337694378.215,163382553342.112,24044858963.8965,17.2565356927966,"Merch bole wood and bark weight"
"Eastern WA","WSTPOB",2,7897307181.67737,7878625259.99726,-18681921.6801119,-0.23656065606079,"Stump wood and bark weight"
"Eastern WY and Eastern CO","BIOMASS",1,46374632271.4323,54126050029.1636,7751417757.73125,16.7147799951533,"Total aboveground biomass"
"Eastern WY and Eastern CO","CARBON",1,23187316200.2968,27442375890.4768,4255059690.17995,18.3508071974517,"Total aboveground carbon"
"Eastern WY and Eastern CO","VMERIB",1,1218837266.4574,1185576516.45546,-33260750.0019429,-2.72889178213402,"Merchantable wood volume"
"Eastern WY and Eastern CO","WMERBCH",1,6644111870.84023,15562425265.3377,8918313394.49743,134.228826483766,"Top and limb weight"
"Eastern WY and Eastern CO","WMEROB",1,36131368329.4873,34103302264.7963,-2028066064.69097,-5.61303420949003,"Merch bole wood and bark weight"
"Eastern WY and Eastern CO","WSTPOB",1,1748126860.02896,1991251035.77356,243124175.744603,13.9076963636709,"Stump wood and bark weight"
"Eastern WY and Eastern CO","VSAWIB",1,904031307.812628,913432813.78406,9401505.97143233,1.03995358237979,"Sawlog wood volume"
"Eastern WY and Eastern CO","BIOMASS",2,1879410597.26775,3009560977.22124,1130150379.95349,60.1332344085152,"Total aboveground biomass"
"Eastern WY and Eastern CO","CARBON",2,939705302.001624,1523496879.15759,583791577.155966,62.1249636362014,"Total aboveground carbon"
