"SPCD","COMMON_NAME","HWSW","DIVISION","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
"101","whitebark pine","Softwood","M260","VMERIB",1,158466371.329477,180557633.203258,22091261.8737807,13.9406624184316,"Merchantable wood volume"
"101","whitebark pine","Softwood","M260","WMERBCH",1,833356336.731724,4153481800.57463,3320125463.84291,398.404058084427,"Top and limb weight"
"101","whitebark pine","Softwood","M260","WMEROB",1,4889962893.23483,4407083711.26075,-482879181.974084,-9.87490483091677,"Merch bole wood and bark weight"
"101","whitebark pine","Softwood","M260","WSTPOB",1,278491836.264633,410149646.573831,131657810.309198,47.2752853638741,"Stump wood and bark weight"
"101","whitebark pine","Softwood","M260","BIOMASS",2,922081705.682428,1506369366.06283,584287660.380407,63.3661482252246,"Total aboveground biomass"
"101","whitebark pine","Softwood","M260","CARBON",2,461040853.882962,719969238.509732,258928384.62677,56.1617007356361,"Total aboveground carbon"
"101","whitebark pine","Softwood","M260","VMERIB",2,29166933.7934263,32769761.6757976,3602827.88237135,12.3524396081132,"Merchantable wood volume"
"101","whitebark pine","Softwood","M260","WMERBCH",2,68272740.6124672,689124304.583675,620851563.971207,909.369623075941,"Top and limb weight"
"101","whitebark pine","Softwood","M260","WMEROB",2,807232616.469487,745812220.896253,-61420395.5732342,-7.60876038952222,"Merch bole wood and bark weight"
"101","whitebark pine","Softwood","M260","WSTPOB",2,46576348.6004735,71432840.5829064,24856491.9824329,53.3671975784297,"Stump wood and bark weight"
"101","whitebark pine","Softwood","M260","VSAWIB",1,104259354.691026,117005387.523357,12746032.832331,12.2253133736575,"Sawlog wood volume"
"101","whitebark pine","Softwood","340","BIOMASS",1,341880193.244194,460720171.592175,118839978.347981,34.7607087793757,"Total aboveground biomass"
