"VOLUME_REG","SPCD","COMMON_NAME","HWSW","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
"CA Mixed Conifer Group","108","lodgepole pine","Softwood","CARBON",2,1581837695.79017,1926648179.59152,344810483.801344,21.7980950080407,"Total aboveground carbon"
"CA Mixed Conifer Group","108","lodgepole pine","Softwood","VMERIB",2,104420782.955187,106169639.056381,1748856.10119388,1.6748161158152,"Merchantable wood volume"
"CA Mixed Conifer Group","108","lodgepole pine","Softwood","WMERBCH",2,362119010.50778,729843216.761164,367724206.253384,101.547887733854,"Top and limb weight"
"CA Mixed Conifer Group","108","lodgepole pine","Softwood","WMEROB",2,2650592578.62599,2975806805.10067,325214226.474679,12.2694913242103,"Merch bole wood and bark weight"
"CA Mixed Conifer Group","108","lodgepole pine","Softwood","WSTPOB",2,127304918.767381,112569605.756587,-14735313.0107946,-11.5748182815464,"Stump wood and bark weight"
"CA Mixed Conifer Group","109","Coulter pine","Softwood","BIOMASS",1,407220841.560646,502137200.356573,94916358.7959269,23.3083253873172,"Total aboveground biomass"
"CA Mixed Conifer Group","109","Coulter pine","Softwood","CARBON",1,203610420.899405,239996474.910424,36386054.0110188,17.8704281687996,"Total aboveground carbon"
"CA Mixed Conifer Group","109","Coulter pine","Softwood","VMERIB",1,10957913.4521635,11743144.4689107,785231.016747199,7.16588080545719,"Merchantable wood volume"
"CA Mixed Conifer Group","109","Coulter pine","Softwood","WMERBCH",1,53872462.5394635,128271063.634827,74398601.0953631,138.101355661742,"Top and limb weight"
"CA Mixed Conifer Group","109","Coulter pine","Softwood","WMEROB",1,338139819.291426,358957742.996785,20817923.705359,6.15660224488884,"Merch bole wood and bark weight"
"CA Mixed Conifer Group","109","Coulter pine","Softwood","WSTPOB",1,15208559.7297572,14908393.7249619,-300166.004795266,-1.97366489745876,"Stump wood and bark weight"
"CA Mixed Conifer Group","109","Coulter pine","Softwood","VSAWIB",1,10397865.0824538,10685898.3383299,288033.255876057,2.77011918881413,"Sawlog wood volume"
"CA Mixed Conifer Group","11","Pacific silver fir","Softwood","BIOMASS",1,113574925.758551,100948413.073113,-12626512.6854385,-11.1173417909876,"Total aboveground biomass"
"CA Mixed Conifer Group","11","Pacific silver fir","Softwood","CARBON",1,56787462.9125433,49784392.3805567,-7003070.53198657,-12.3320715045358,"Total aboveground carbon"
"CA Mixed Conifer Group","11","Pacific silver fir","Softwood","VMERIB",1,3252098.67673304,3187266.27965254,-64832.3970805034,-1.99355565513258,"Merchantable wood volume"
"CA Mixed Conifer Group","11","Pacific silver fir","Softwood","VSAWIB",1,2546275.99608681,2402322.14766211,-143953.848424704,-5.65350530130812,"Sawlog wood volume"
"CA Mixed Conifer Group","11","Pacific silver fir","Softwood","WMERBCH",1,15342554.8381838,13882092.6469294,-1460462.19125441,-9.51902865368737,"Top and limb weight"
"CA Mixed Conifer Group","11","Pacific silver fir","Softwood","WMEROB",1,93672929.935863,84079634.3939898,-9593295.5418732,-10.2412677263769,"Merch bole wood and bark weight"
"CA Mixed Conifer Group","11","Pacific silver fir","Softwood","WSTPOB",1,4559440.98450436,2986686.03219336,-1572754.952311,-34.4944688977473,"Stump wood and bark weight"
"CA Mixed Conifer Group","113","limber pine","Softwood","BIOMASS",1,19929631.3006055,25670245.6333482,5740614.33274272,28.8044181357651,"Total aboveground biomass"
"CA Mixed Conifer Group","113","limber pine","Softwood","CARBON",1,9964815.65030274,12323001.4162888,2358185.76598605,23.6651218521479,"Total aboveground carbon"
"CA Mixed Conifer Group","113","limber pine","Softwood","VMERIB",1,614978.300674549,560227.580102912,-54750.7205716365,-8.90287031454317,"Merchantable wood volume"
"CA Mixed Conifer Group","113","limber pine","Softwood","VSAWIB",1,610672.895667868,558795.55949895,-51877.3361689176,-8.49511031796842,"Sawlog wood volume"
"CA Mixed Conifer Group","113","limber pine","Softwood","WMERBCH",1,2632036.25178399,14818074.1332924,12186037.8815084,462.988983272884,"Top and limb weight"
"CA Mixed Conifer Group","113","limber pine","Softwood","WMEROB",1,16769720.2871314,10289134.8553535,-6480585.43177789,-38.6445648515133,"Merch bole wood and bark weight"
"CA Mixed Conifer Group","113","limber pine","Softwood","WSTPOB",1,527874.761690067,563036.644702227,35161.8830121597,6.66102749439733,"Stump wood and bark weight"
"CA Mixed Conifer Group","116","Jeffrey pine","Softwood","BIOMASS",1,71440184045.0466,80526210547.9541,9086026502.9075,12.718369394427,"Total aboveground biomass"
"CA Mixed Conifer Group","116","Jeffrey pine","Softwood","CARBON",1,35720092043.7022,41753990543.5507,6033898499.8485,16.892169517554,"Total aboveground carbon"
"CA Mixed Conifer Group","116","Jeffrey pine","Softwood","VMERIB",1,2057948986.46199,1894480084.89379,-163468901.568203,-7.94329221198226,"Merchantable wood volume"
"CA Mixed Conifer Group","116","Jeffrey pine","Softwood","VSAWIB",1,1997420496.4737,1805195248.91264,-192225247.561056,-9.62367452924488,"Sawlog wood volume"
"CA Mixed Conifer Group","116","Jeffrey pine","Softwood","WMERBCH",1,9654420474.10132,24410835651.684,14756415177.5827,152.846203634572,"Top and limb weight"
"CA Mixed Conifer Group","116","Jeffrey pine","Softwood","WMEROB",1,59348746303.2283,53746940399.6575,-5601805903.57085,-9.43879399734876,"Merch bole wood and bark weight"
