"NF_REGION","SPCD","COMMON_NAME","HWSW","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
1,"19","subalpine fir","Softwood","VMERIB",2,1947252511.94239,2004364219.828,57111707.8856041,2.93293794899949,"Merchantable wood volume"
1,"19","subalpine fir","Softwood","WMERBCH",2,5810387786.82329,19198584455.7525,13388196668.9292,230.418298401541,"Top and limb weight"
1,"19","subalpine fir","Softwood","WMEROB",2,46065592540.2525,51750649523.5394,5685056983.2869,12.341221874698,"Merch bole wood and bark weight"
1,"19","subalpine fir","Softwood","WSTPOB",2,2440297529.2774,2916058962.99894,475761433.721538,19.4960421019816,"Stump wood and bark weight"
1,"202","Douglas-fir","Softwood","BIOMASS",1,554302702146.147,596312065561.701,42009363415.5543,7.57877658775659,"Total aboveground biomass"
1,"202","Douglas-fir","Softwood","CARBON",1,277151351518.089,307456016370.006,30304664851.9179,10.9343377493651,"Total aboveground carbon"
1,"202","Douglas-fir","Softwood","VMERIB",1,13510545360.473,13402752967.605,-107792392.867928,-0.797838947221846,"Merchantable wood volume"
1,"202","Douglas-fir","Softwood","VSAWIB",1,10878116315.7257,11153501299.8276,275384984.101837,2.5315502804813,"Sawlog wood volume"
1,"202","Douglas-fir","Softwood","WMERBCH",1,75017816616.5375,132523535106.675,57505718490.1377,76.6560812934413,"Top and limb weight"
1,"202","Douglas-fir","Softwood","WMEROB",1,443550960980.611,428152278410.221,-15398682570.3896,-3.47168283354542,"Merch bole wood and bark weight"
1,"202","Douglas-fir","Softwood","WSTPOB",1,21181886079.9227,18844836719.9583,-2337049359.96441,-11.0332448732202,"Stump wood and bark weight"
1,"202","Douglas-fir","Softwood","BIOMASS",2,64470915943.7067,103678015997.899,39207100054.1927,60.8136234459997,"Total aboveground biomass"
1,"202","Douglas-fir","Softwood","CARBON",2,32235458021.3831,53455953056.7836,21220495035.4005,65.8296681291888,"Total aboveground carbon"
1,"202","Douglas-fir","Softwood","VMERIB",2,1957221224.69626,2248918094.57552,291696869.87926,14.9036228607488,"Merchantable wood volume"
