"SPCD","COMMON_NAME","HWSW","DIVISION","ECODIVISION","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
"102","Rocky Mountain bristlecone pine","Softwood","M330","M331","WSTPOB",1,386523756.511672,425856247.472429,39332490.9607569,10.1759569232504,"Stump wood and bark weight"
"102","Rocky Mountain bristlecone pine","Softwood","M330","M331","VSAWIB",1,124989285.398398,101042823.22054,-23946462.1778573,-19.1588119745857,"Sawlog wood volume"
"102","Rocky Mountain bristlecone pine","Softwood","M330","M331","BIOMASS",2,1411829255.76181,2029489081.09025,617659825.328439,43.7489039703428,"Total aboveground biomass"
"102","Rocky Mountain bristlecone pine","Softwood","M330","M331","CARBON",2,705914629.679655,969994306.307085,264079676.62743,37.4095769551156,"Total aboveground carbon"
"102","Rocky Mountain bristlecone pine","Softwood","M330","M331","VMERIB",2,44211375.028358,41226999.584788,-2984375.44357006,-6.75024344222685,"Merchantable wood volume"
"102","Rocky Mountain bristlecone pine","Softwood","M330","M331","WMERBCH",2,75817414.5909501,737950483.628309,662133069.037359,873.325834980918,"Top and limb weight"
"102","Rocky Mountain bristlecone pine","Softwood","M330","M331","WMEROB",2,1245450000.8099,1171370493.90319,-74079506.9067097,-5.94801130985082,"Merch bole wood and bark weight"
"102","Rocky Mountain bristlecone pine","Softwood","M330","M331","WSTPOB",2,84079592.5950979,113514320.50889,29434727.9137919,35.0081714305404,"Stump wood and bark weight"
"102","Rocky Mountain bristlecone pine","Softwood","330","331","BIOMASS",1,16472610.5051997,19151476.3447051,2678865.83950543,16.2625458706732,"Total aboveground biomass"
"102","Rocky Mountain bristlecone pine","Softwood","330","331","CARBON",1,8236305.25259983,9153448.1189518,917142.866351962,11.1353675977765,"Total aboveground carbon"
"102","Rocky Mountain bristlecone pine","Softwood","330","331","VMERIB",1,322963.156773136,287053.889281992,-35909.2674911436,-11.1186885370853,"Merchantable wood volume"
"102","Rocky Mountain bristlecone pine","Softwood","330","331","WMERBCH",1,1770210.96680932,4907808.79600911,3137597.82919978,177.244288281361,"Top and limb weight"
"102","Rocky Mountain bristlecone pine","Softwood","330","331","WMEROB",1,9966012.60454902,7570048.82939905,-2395963.77514997,-24.0413480317728,"Merch bole wood and bark weight"
"102","Rocky Mountain bristlecone pine","Softwood","330","331","WSTPOB",1,649752.374482161,755234.37584196,105482.001359799,16.2341848221587,"Stump wood and bark weight"
"102","Rocky Mountain bristlecone pine","Softwood","330","331","VSAWIB",1,258519.792857785,187566.180533772,-70953.6123240137,-27.4461044315652,"Sawlog wood volume"
"103","knobcone pine","Softwood","M260","M261","BIOMASS",1,5638464851.3844,6070118129.30934,431653277.924939,7.65551066295919,"Total aboveground biomass"
"103","knobcone pine","Softwood","M260","M261","CARBON",1,2819232437.18861,2909711125.28443,90478688.0958257,3.20933765170682,"Total aboveground carbon"
"103","knobcone pine","Softwood","M260","M261","VMERIB",1,159707437.985398,154674558.954562,-5032879.03083602,-3.15131160722532,"Merchantable wood volume"
"103","knobcone pine","Softwood","M260","M261","WMERBCH",1,760864981.706765,1136570361.2288,375705379.522038,49.378718768113,"Top and limb weight"
"103","knobcone pine","Softwood","M260","M261","WMEROB",1,4341078143.41874,4221462720.65605,-119615422.762693,-2.75543122724099,"Merch bole wood and bark weight"
"103","knobcone pine","Softwood","M260","M261","WSTPOB",1,226650907.834166,206338369.914363,-20312537.9198027,-8.96203686713876,"Stump wood and bark weight"
"103","knobcone pine","Softwood","M260","M261","BIOMASS",2,1322742898.36034,1438798835.97106,116055937.610719,8.7738847628349,"Total aboveground biomass"
"103","knobcone pine","Softwood","M260","M261","CARBON",2,661371450.48024,689688222.02273,28316771.5424893,4.28152311714207,"Total aboveground carbon"
"103","knobcone pine","Softwood","M260","M261","VMERIB",2,44877948.908531,41930074.4564907,-2947874.45204029,-6.56864790779225,"Merchantable wood volume"
"103","knobcone pine","Softwood","M260","M261","WMERBCH",2,126204575.820975,213435161.254933,87230585.4339581,69.1184015052652,"Top and limb weight"
"103","knobcone pine","Softwood","M260","M261","WMEROB",2,1116620669.58932,1135213024.67628,18592355.0869637,1.66505560870566,"Merch bole wood and bark weight"
"103","knobcone pine","Softwood","M260","M261","WSTPOB",2,66908312.0303791,75637526.9667752,8729214.93639611,13.0465328918068,"Stump wood and bark weight"
"103","knobcone pine","Softwood","M260","M261","VSAWIB",1,121617288.649075,112061581.845761,-9555706.80331464,-7.85719440834394,"Sawlog wood volume"
"103","knobcone pine","Softwood","260","263","BIOMASS",1,731948482.981444,782876982.120965,50928499.1395211,6.95793492624975,"Total aboveground biomass"
"103","knobcone pine","Softwood","260","263","CARBON",1,365974241.713635,375272081.379685,9297839.66604948,2.54057215133867,"Total aboveground carbon"
"103","knobcone pine","Softwood","260","263","VMERIB",1,22280468.539849,22069099.1753102,-211369.36453883,-0.94867558175804,"Merchantable wood volume"
"103","knobcone pine","Softwood","260","263","WMERBCH",1,99856503.0632889,128544596.794674,28688093.7313849,28.7293194246973,"Top and limb weight"
"103","knobcone pine","Softwood","260","263","WMEROB",1,605615218.772852,632137277.440307,26522058.6674556,4.37935802227638,"Merch bole wood and bark weight"
"103","knobcone pine","Softwood","260","263","WSTPOB",1,26476761.1453034,22195107.8859842,-4281653.25931925,-16.1713633923035,"Stump wood and bark weight"
"103","knobcone pine","Softwood","260","263","VSAWIB",1,21816197.2879683,20483851.7362019,-1332345.55176645,-6.10713926987286,"Sawlog wood volume"
